vendor,model,myct,mmin,mmax,cach,chmin,chmax,perf,estperf,Ambient_Temperature
amdahl,470v/7c,29,8000,16000,32,8,16,132,132,25.94334136463295
apollo,dn320,400,1000,3000,0,1,2,38,23,36.55058021821833
apollo,dn420,400,512,3500,4,1,6,40,24,3.7455573705304808
basf,7/65,60,2000,8000,65,1,8,92,70,17.542040920123622
basf,7/68,50,4000,16000,65,1,8,138,117,36.4890533346064
bti,5000,350,64,64,0,1,4,10,15,34.505058288939
burroughs,b1955,167,524,2000,8,4,15,19,23,22.109935170076604
burroughs,b2900,143,512,5000,0,7,32,28,29,27.753231387558564
burroughs,b2925,143,1000,2000,0,5,16,31,22,-6.401104707386559
burroughs,b5900,143,1500,6300,0,5,32,30,35,-4.0119737585153
burroughs,b5920,143,3100,6200,0,5,20,33,39,0.14168958666316023
c.r.d,68/10-80,320,128,6000,0,1,12,23,28,16.576005409989712
c.r.d,universe:68,320,256,6000,0,1,6,33,28,29.105232575957757
c.r.d,universe:68/05,320,256,3000,4,1,3,27,22,30.885176628406633
c.r.d,universe:68/37,320,256,5000,4,1,6,27,27,27.161655164437605
cdc,cyber:170/825,50,2620,10480,30,12,24,63,74,6.894211416320541
cdc,cyber:170/835,56,5240,20970,30,12,24,106,138,-6.862130172615235
cdc,cyber:170/845,64,5240,20970,30,12,24,208,136,36.8187965763942
cdc,omega:480-i,50,500,2000,8,1,4,20,23,18.82175989525998
cdc,omega:480-ii,50,1000,4000,8,1,5,29,29,38.47374492202844
cdc,omega:480-iii,50,2000,8000,8,1,5,71,44,27.419490423635366
cambex,1636-1,50,1000,4000,8,3,5,26,30,1.9945946320683277
cambex,1636-10,50,1000,8000,8,3,5,36,41,10.60837010404844
cambex,1641-11,50,2000,16000,8,3,6,52,74,35.59663742087479
cambex,1651-1,50,2000,16000,8,3,6,60,74,15.569392712724255
dec,decsys:10:1091,133,1000,12000,9,3,12,72,54,34.37963209967292
dec,decsys:20:2060,133,1000,8000,9,3,12,72,41,31.329920246230948
dec,vax:11/750,320,512,8000,4,1,5,40,36,11.821229401718629
dec,vax:11/780,200,512,8000,8,1,8,62,38,-0.6051006436934863
dg,eclipse:mv/10000,140,1000,16000,16,1,3,138,72,33.34848047000086
dg,eclipse:mv/4000,200,1000,8000,0,1,2,36,36,38.9874997085052
dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30,-9.9740104503485
dg,eclipse:mv/8000,110,1000,12000,16,1,2,60,56,23.706039984887035
dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71,42,13.821075478022752
four-phase,2000/260,125,512,1000,0,8,20,36,19,9.75101646928253
gould,concept:32/8705,75,2000,8000,64,1,38,144,75,18.293319606785577
gould,concept:32/8750,75,2000,16000,64,1,38,144,113,37.688918899521724
hp,3000/30,90,256,1000,0,3,10,17,18,6.772035957033999
hp,3000/40,105,256,2000,0,3,10,26,20,-4.091408127380044
hp,3000/44,105,1000,4000,0,3,24,32,28,8.746823040381521
hp,3000/48,105,2000,4000,8,3,19,32,33,23.323084452702858
hp,3000/64,75,2000,8000,8,3,24,62,47,25.232419045193566
hp,3000/88,75,3000,8000,8,3,48,64,54,36.59398034514351
hp,3000/iii,175,256,2000,0,3,24,22,20,4.610510167865815
harris,300,300,768,3000,6,6,24,44,25,38.25850544476981
harris,500,300,768,12000,6,6,24,50,52,3.898481224653425
harris,600,300,768,4500,0,1,24,45,27,3.6102343181024494
harris,700,300,384,12000,6,1,24,53,50,0.8317931319918621
harris,80,300,192,768,6,6,24,36,18,36.01742388952628
harris,800,180,768,12000,6,1,31,84,53,19.63362222552312
honeywell,dps:6/35,330,1000,3000,0,2,4,16,23,9.201665396974438
honeywell,dps:7/45,330,1000,4000,0,3,6,22,25,-8.055864026006311
honeywell,dps:7/55,140,2000,4000,0,3,6,29,28,15.524302175024832
honeywell,dps:7/65,140,2000,4000,0,4,8,40,29,5.95908549949357
honeywell,dps:8/44,140,2000,4000,8,1,20,35,32,-5.382488668408416
honeywell,dps:8/20,140,2000,4000,8,1,20,22,32,10.078055388235704
ibm,3033:s,57,4000,16000,1,6,12,132,82,24.84343164006747
ibm,3033:u,57,4000,24000,64,12,16,237,171,10.346420016181483
ibm,3083:e,26,8000,16000,0,8,16,185,113,4.011176582713453
ibm,370/148,203,1000,2000,0,1,5,24,21,3.521065626032513
ibm,370/158-3,115,512,6000,16,1,6,45,35,38.91330684072106
ibm,38/7,400,2000,4000,0,1,1,32,28,16.416804787408417
ibm,38/8,400,4000,8000,0,1,1,32,45,5.473676303381506
ibm,4341-1,225,2000,4000,8,3,6,40,31,16.573084373936297
ibm,4341-10,225,2000,4000,8,3,6,34,31,10.632432801284345
ibm,4341-11,180,2000,8000,8,1,6,50,42,39.31514275798449
ibm,4341-12,185,2000,16000,16,1,6,76,76,-8.427030251823332
ibm,4341-2,180,2000,16000,16,1,6,66,76,6.844878989175427
ibm,4341-9,225,1000,4000,2,3,6,24,26,-1.0411748739868738
ibm,4361-4,25,2000,12000,8,1,4,49,59,-4.711024048106923
ibm,4361-5,25,2000,12000,16,3,5,66,65,13.096099647370167
ibm,4381-1,17,4000,16000,8,6,12,100,101,11.296715438654847
ibm,4381-2,17,4000,16000,32,6,12,133,116,0.5893731978474079
ipl,4436,50,2000,4000,0,3,6,27,30,5.867431907603514
ipl,4443,50,2000,8000,8,3,6,45,44,33.25670231610933
ipl,4445,50,2000,8000,8,1,6,56,44,-4.73923311212904
ipl,4446,50,2000,16000,24,1,6,70,82,-9.169363609448318
ipl,4460,50,2000,16000,24,1,6,80,82,17.738136838707568
ipl,4480,50,8000,16000,48,1,10,136,128,34.3727979684567
magnuson,m80/32,100,1000,8000,24,3,6,32,46,8.954538912130392
magnuson,m80/44,50,2000,16000,24,6,16,65,88,35.94783022994247
nas,as/3000,115,2000,8000,16,1,3,50,46,36.69947303559985
nas,as/3000-n,115,2000,4000,2,1,5,40,29,2.5945665033441347
nas,as/5000,92,2000,8000,32,1,6,62,53,11.623397757974132
nas,as/5000-e,92,2000,8000,32,1,6,60,53,-6.555562236194669
nas,as/5000-n,92,2000,8000,4,1,6,50,41,24.455291666384213
nas,as/6130,75,4000,16000,16,1,6,66,86,5.497497792599374
nas,as/6150,60,4000,16000,32,1,6,86,95,-5.7648694056385805
nas,as/6630,60,4000,16000,64,5,8,93,117,15.123269323205065
nas,as/6650,50,4000,16000,64,5,10,111,119,22.385568280268146
nas,as/7000,72,4000,16000,64,8,16,143,120,39.50160763625362
nas,as/8040,40,8000,16000,32,8,16,214,126,3.9996543243277483
nas,as/9000-n,48,4000,24000,32,8,24,214,151,22.269291462364166
ncr,v8575:ii,56,4000,8000,0,1,8,34,47,29.669111602143246
ncr,v8585:ii,56,4000,12000,0,1,8,42,62,31.918640126293027
ncr,v8655,38,8000,16000,64,4,8,100,142,-4.037590933799797
nixdorf,8890/30,200,1000,2000,0,1,2,25,21,4.555862323504487
nixdorf,8890/50,200,1000,4000,0,1,4,30,25,37.70131269718125
perkin-elmer,3205,250,512,4000,0,1,7,25,24,36.97168513209212
perkin-elmer,3230,250,1000,16000,1,1,8,50,64,10.03549769465705
prime,50-2250,160,512,4000,2,1,5,30,25,-9.037479310335192
prime,50-250-ii,160,512,2000,2,3,8,32,20,30.791430992922187
prime,50-550-ii,160,1000,4000,8,1,14,38,29,23.08787611057341
prime,50-750-ii,160,1000,8000,16,1,14,60,43,28.41217522153518
siemens,7.536,105,2000,4000,8,3,8,22,31,38.77478320994268
siemens,7.541,105,2000,6000,16,6,16,33,41,23.98091206346995
siemens,7.551,105,2000,8000,16,4,14,58,47,3.5110818220548428
siemens,7.561,52,4000,16000,32,4,12,130,99,15.026930997408954
siemens,7.865-2,70,4000,12000,8,6,8,75,67,17.039762514677367
siemens,7.870-2,59,4000,12000,32,6,12,113,81,24.59705712420495
siemens,7.872-2,59,8000,16000,64,12,24,188,149,0.4567142034636067
siemens,7.875-2,26,8000,24000,32,8,16,173,183,19.318604348906007
sperry,1100/61-h1,116,2000,8000,32,5,28,70,56,7.14707763271532
sperry,80/5,180,262,4000,0,1,3,18,24,34.22415299262861
sperry,80/6,180,512,4000,0,1,3,21,24,39.2432177831561
sperry,80/8,124,1000,8000,0,1,8,42,37,10.41969509272748
sperry,90/80-model-3,98,1000,8000,32,2,8,46,50,8.443480241190652
sratus,32,125,2000,8000,0,2,14,52,41,15.66446123553331
wang,vs-100,480,512,8000,32,0,0,67,47,-2.2569918525730337
wang,vs-90,480,1000,4000,0,0,0,45,25,39.314760621722
